Время,Координата,Сера
53.3276,439.394,200
53.3276,454.545,200
53.3276,469.697,200
53.3276,484.848,200
53.3276,500,200
53.3276,515.152,200
53.3276,530.303,200
53.3276,545.455,200
53.3276,560.606,200
53.3276,575.758,200
53.3276,590.909,200
53.3276,606.061,200
53.3276,621.212,200
53.3276,636.364,200
53.3276,651.515,200
53.3276,666.667,200
53.3276,681.818,200
53.3276,696.97,200
53.3276,712.121,200
53.3276,727.273,200
53.3276,742.424,200
53.3276,757.576,200
53.3276,772.727,200
53.3276,787.879,200
53.3276,803.03,200
53.3276,818.182,200
53.3276,833.333,200
53.3276,848.485,200
53.3276,863.636,200
53.3276,878.788,200
53.3276,893.939,200
53.3276,909.091,200
53.3276,924.242,200
53.3276,939.394,200
53.3276,954.545,200
53.3276,969.697,200
53.3276,984.848,200
53.3276,1000,200
53.3276,1015.15,200
53.3276,1030.3,200
53.3276,1045.45,200
53.3276,1060.61,200
53.3276,1075.76,200
53.3276,1090.91,200
53.3276,1106.06,200
53.3276,1121.21,200
53.3276,1136.36,200
53.3276,1151.52,200
53.3276,1166.67,200
53.3276,1181.82,200
53.3276,1196.97,200
53.3276,1212.12,200
53.3276,1227.27,200
53.3276,1242.42,200
53.3276,1257.58,200
53.3276,1272.73,200
53.3276,1287.88,200
53.3276,1303.03,200
53.3276,1318.18,200
53.3276,1333.33,200
53.3276,1348.48,200
53.3276,1363.64,200
53.3276,1378.79,200
53.3276,1393.94,200
53.3276,1409.09,200
53.3276,1424.24,200
53.3276,1439.39,200
53.3276,1454.55,200
53.3276,1469.7,200
53.3276,1484.85,200
53.3276,1500,200
63.9901,0,289
63.9901,15.1515,289
63.9901,30.303,289
63.9901,45.4545,289
63.9901,60.6061,289
63.9901,75.7576,289
63.9901,90.9091,200
63.9901,106.061,200
63.9901,121.212,200
63.9901,136.364,200
63.9901,151.515,200
63.9901,166.667,200
63.9901,181.818,200
63.9901,196.97,200
63.9901,212.121,200
63.9901,227.273,200
63.9901,242.424,200
63.9901,257.576,200
63.9901,272.727,200
63.9901,287.879,200
63.9901,303.03,200
63.9901,318.182,200
63.9901,333.333,200
63.9901,348.485,200
63.9901,363.636,200
63.9901,378.788,200
63.9901,393.939,200
63.9901,409.091,200
63.9901,424.242,200
63.9901,439.394,200
63.9901,454.545,200
63.9901,469.697,200
63.9901,484.848,200
63.9901,500,200
63.9901,515.152,200
63.9901,530.303,200
63.9901,545.455,200
63.9901,560.606,200
63.9901,575.758,200
63.9901,590.909,200
63.9901,606.061,200
63.9901,621.212,200
63.9901,636.364,200
63.9901,651.515,200
63.9901,666.667,200
63.9901,681.818,200
63.9901,696.97,200
63.9901,712.121,200
63.9901,727.273,200
63.9901,742.424,200
63.9901,757.576,200
63.9901,772.727,200
63.9901,787.879,200
63.9901,803.03,200
63.9901,818.182,200
63.9901,833.333,200
63.9901,848.485,200
63.9901,863.636,200
63.9901,878.788,200
63.9901,893.939,200
63.9901,909.091,200
63.9901,924.242,200
63.9901,939.394,200
63.9901,954.545,200
63.9901,969.697,200
63.9901,984.848,200
63.9901,1000,200
63.9901,1015.15,200
63.9901,1030.3,200
63.9901,1045.45,200
63.9901,1060.61,200
63.9901,1075.76,200
63.9901,1090.91,200
63.9901,1106.06,200
63.9901,1121.21,200
63.9901,1136.36,200
63.9901,1151.52,200
63.9901,1166.67,200
63.9901,1181.82,200
63.9901,1196.97,200
63.9901,1212.12,200
63.9901,1227.27,200
63.9901,1242.42,200
63.9901,1257.58,200
63.9901,1272.73,200
63.9901,1287.88,200
63.9901,1303.03,200
63.9901,1318.18,200
63.9901,1333.33,200
63.9901,1348.48,200
63.9901,1363.64,200
63.9901,1378.79,200
63.9901,1393.94,200
63.9901,1409.09,200
63.9901,1424.24,200
63.9901,1439.39,200
63.9901,1454.55,200
63.9901,1469.7,200
63.9901,1484.85,200
63.9901,1500,200
74.6526,0,289
74.6526,15.1515,289
74.6526,30.303,289
74.6526,45.4545,289
74.6526,60.6061,289
74.6526,75.7576,289
74.6526,90.9091,289
74.6526,106.061,200
74.6526,121.212,200
74.6526,136.364,200
74.6526,151.515,200
74.6526,166.667,200
74.6526,181.818,200
